colorspace,quantize_method,total_bits,channel_bits,q1,q2,q3,error_value,filename,folder,config,bit_efficiency,channel_sum
RGB,equal,4,112,1,1,2,1064,out_RGB_equal_N4_112_error_1064.png,C1M1,C1M1,0.0037593984962406013,4
RGB,equal,4,121,1,2,1,1102,out_RGB_equal_N4_121_error_1102.png,C1M1,C1M1,0.003629764065335753,4
RGB,equal,4,211,2,1,1,878,out_RGB_equal_N4_211_error_878.png,C1M1,C1M1,0.004555808656036446,4
RGB,equal,6,114,1,1,4,990,out_RGB_equal_N6_114_error_990.png,C1M1,C1M1,0.006060606060606061,6
RGB,equal,6,123,1,2,3,740,out_RGB_equal_N6_123_error_740.png,C1M1,C1M1,0.008108108108108109,6
RGB,equal,6,132,1,3,2,728,out_RGB_equal_N6_132_error_728.png,C1M1,C1M1,0.008241758241758242,6
RGB,equal,6,141,1,4,1,1022,out_RGB_equal_N6_141_error_1022.png,C1M1,C1M1,0.005870841487279843,6
RGB,equal,6,213,2,1,3,517,out_RGB_equal_N6_213_error_517.png,C1M1,C1M1,0.01160541586073501,6
RGB,equal,6,222,2,2,2,290,out_RGB_equal_N6_222_error_290.png,C1M1,C1M1,0.020689655172413793,6
RGB,equal,6,231,2,3,1,543,out_RGB_equal_N6_231_error_543.png,C1M1,C1M1,0.011049723756906077,6
RGB,equal,6,312,3,1,2,465,out_RGB_equal_N6_312_error_465.png,C1M1,C1M1,0.012903225806451613,6
RGB,equal,6,321,3,2,1,503,out_RGB_equal_N6_321_error_503.png,C1M1,C1M1,0.011928429423459244,6
RGB,equal,6,411,4,1,1,762,out_RGB_equal_N6_411_error_762.png,C1M1,C1M1,0.007874015748031496,6
RGB,equal,8,116,1,1,6,983,out_RGB_equal_N8_116_error_983.png,C1M1,C1M1,0.008138351983723296,8
RGB,equal,8,125,1,2,5,709,out_RGB_equal_N8_125_error_709.png,C1M1,C1M1,0.011283497884344146,8
RGB,equal,8,134,1,3,4,654,out_RGB_equal_N8_134_error_654.png,C1M1,C1M1,0.012232415902140673,8
RGB,equal,8,143,1,4,3,660,out_RGB_equal_N8_143_error_660.png,C1M1,C1M1,0.012121212121212121,8
RGB,equal,8,152,1,5,2,704,out_RGB_equal_N8_152_error_704.png,C1M1,C1M1,0.011363636363636364,8
RGB,equal,8,161,1,6,1,1015,out_RGB_equal_N8_161_error_1015.png,C1M1,C1M1,0.007881773399014778,8
RGB,equal,8,215,2,1,5,486,out_RGB_equal_N8_215_error_486.png,C1M1,C1M1,0.01646090534979424,8
RGB,equal,8,224,2,2,4,216,out_RGB_equal_N8_224_error_216.png,C1M1,C1M1,0.037037037037037035,8
RGB,equal,8,233,2,3,3,181,out_RGB_equal_N8_233_error_181.png,C1M1,C1M1,0.04419889502762431,8
RGB,equal,8,242,2,4,2,210,out_RGB_equal_N8_242_error_210.png,C1M1,C1M1,0.0380952380952381,8
RGB,equal,8,251,2,5,1,518,out_RGB_equal_N8_251_error_518.png,C1M1,C1M1,0.015444015444015444,8
RGB,equal,8,314,3,1,4,391,out_RGB_equal_N8_314_error_391.png,C1M1,C1M1,0.020460358056265986,8
RGB,equal,8,323,3,2,3,141,out_RGB_equal_N8_323_error_141.png,C1M1,C1M1,0.05673758865248227,8
RGB,equal,8,332,3,3,2,130,out_RGB_equal_N8_332_error_130.png,C1M1,C1M1,0.06153846153846154,8
RGB,equal,8,341,3,4,1,423,out_RGB_equal_N8_341_error_423.png,C1M1,C1M1,0.018912529550827423,8
RGB,equal,8,413,4,1,3,400,out_RGB_equal_N8_413_error_400.png,C1M1,C1M1,0.02,8
RGB,equal,8,422,4,2,2,174,out_RGB_equal_N8_422_error_174.png,C1M1,C1M1,0.04597701149425287,8
RGB,equal,8,431,4,3,1,426,out_RGB_equal_N8_431_error_426.png,C1M1,C1M1,0.018779342723004695,8
RGB,equal,8,512,5,1,2,446,out_RGB_equal_N8_512_error_446.png,C1M1,C1M1,0.017937219730941704,8
RGB,equal,8,521,5,2,1,483,out_RGB_equal_N8_521_error_483.png,C1M1,C1M1,0.016563146997929608,8
RGB,equal,8,611,6,1,1,757,out_RGB_equal_N8_611_error_757.png,C1M1,C1M1,0.010568031704095112,8
RGB,nonuniform,4,112,1,1,2,950,out_RGB_nonuniform_N4_112_error_950.png,C1M2,C1M2,0.004210526315789474,4
RGB,nonuniform,4,121,1,2,1,1021,out_RGB_nonuniform_N4_121_error_1021.png,C1M2,C1M2,0.0039177277179236044,4
RGB,nonuniform,4,211,2,1,1,862,out_RGB_nonuniform_N4_211_error_862.png,C1M2,C1M2,0.004640371229698376,4
RGB,nonuniform,6,114,1,1,4,881,out_RGB_nonuniform_N6_114_error_881.png,C1M2,C1M2,0.00681044267877412,6
RGB,nonuniform,6,123,1,2,3,682,out_RGB_nonuniform_N6_123_error_682.png,C1M2,C1M2,0.008797653958944282,6
RGB,nonuniform,6,132,1,3,2,664,out_RGB_nonuniform_N6_132_error_664.png,C1M2,C1M2,0.009036144578313253,6
RGB,nonuniform,6,141,1,4,1,926,out_RGB_nonuniform_N6_141_error_926.png,C1M2,C1M2,0.0064794816414686825,6
RGB,nonuniform,6,213,2,1,3,523,out_RGB_nonuniform_N6_213_error_523.png,C1M2,C1M2,0.011472275334608031,6
RGB,nonuniform,6,222,2,2,2,366,out_RGB_nonuniform_N6_222_error_366.png,C1M2,C1M2,0.01639344262295082,6
RGB,nonuniform,6,231,2,3,1,576,out_RGB_nonuniform_N6_231_error_576.png,C1M2,C1M2,0.010416666666666666,6
RGB,nonuniform,6,312,3,1,2,438,out_RGB_nonuniform_N6_312_error_438.png,C1M2,C1M2,0.0136986301369863,6
RGB,nonuniform,6,321,3,2,1,510,out_RGB_nonuniform_N6_321_error_510.png,C1M2,C1M2,0.011764705882352941,6
RGB,nonuniform,6,411,4,1,1,687,out_RGB_nonuniform_N6_411_error_687.png,C1M2,C1M2,0.008733624454148471,6
RGB,nonuniform,8,116,1,1,6,875,out_RGB_nonuniform_N8_116_error_875.png,C1M2,C1M2,0.009142857142857144,8
RGB,nonuniform,8,125,1,2,5,664,out_RGB_nonuniform_N8_125_error_664.png,C1M2,C1M2,0.012048192771084338,8
RGB,nonuniform,8,134,1,3,4,595,out_RGB_nonuniform_N8_134_error_595.png,C1M2,C1M2,0.013445378151260505,8
RGB,nonuniform,8,143,1,4,3,588,out_RGB_nonuniform_N8_143_error_588.png,C1M2,C1M2,0.013605442176870748,8
RGB,nonuniform,8,152,1,5,2,636,out_RGB_nonuniform_N8_152_error_636.png,C1M2,C1M2,0.012578616352201259,8
RGB,nonuniform,8,161,1,6,1,918,out_RGB_nonuniform_N8_161_error_918.png,C1M2,C1M2,0.008714596949891068,8
RGB,nonuniform,8,215,2,1,5,505,out_RGB_nonuniform_N8_215_error_505.png,C1M2,C1M2,0.015841584158415842,8
